,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
2,all_columns,126,True,minmax,True,94,32,gaussian_nb,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 5e-08},,,,,
4,all_columns,126,True,minmax,True,94,32,gaussian_nb,roc_auc,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 2e-09},,,,,
10,all_columns,126,True,minmax,True,94,32,ada,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
12,all_columns,126,True,minmax,True,94,32,ada,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
13,all_columns,126,True,minmax,True,94,32,ada,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
21,all_columns,126,True,minmax,True,94,32,decision_tree,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
27,all_columns,126,True,minmax,True,94,32,random_forest,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
33,all_columns,126,True,minmax,True,94,32,mlp,balanced_accuracy,0.8125,0.756410256410256,0.5,0.666666666666667,0.571428571428571,0.756410256410256,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
36,reduced,126,True,minmax,True,94,32,gaussian_nb,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 2e-09},,,,,
38,reduced,126,True,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 5e-08},,,,,
39,reduced,126,True,minmax,True,94,32,gaussian_nb,roc_auc,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 1e-08},,,,,
46,reduced,126,True,minmax,True,94,32,ada,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
47,reduced,126,True,minmax,True,94,32,ada,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
48,reduced,126,True,minmax,True,94,32,ada,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
49,reduced,126,True,minmax,True,94,32,ada,roc_auc,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
53,reduced,126,True,minmax,True,94,32,svm,balanced_accuracy,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
54,reduced,126,True,minmax,True,94,32,svm,roc_auc,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
55,reduced,126,True,minmax,True,94,32,decision_tree,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
57,reduced,126,True,minmax,True,94,32,decision_tree,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
58,reduced,126,True,minmax,True,94,32,decision_tree,balanced_accuracy,0.8125,0.692307692307692,0.5,0.5,0.5,0.692307692307692,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
60,reduced,126,True,minmax,True,94,32,random_forest,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
61,reduced,126,True,minmax,True,94,32,random_forest,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
62,reduced,126,True,minmax,True,94,32,random_forest,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
63,reduced,126,True,minmax,True,94,32,random_forest,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
66,reduced,126,True,minmax,True,94,32,mlp,recall,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
67,reduced,126,True,minmax,True,94,32,mlp,f1,0.8125,0.884615384615385,0.5,1,0.666666666666667,0.884615384615385,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
70,tt_0,126,True,minmax,True,94,32,gaussian_nb,precision,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 1e-08},,,,,
71,tt_0,126,True,minmax,True,94,32,gaussian_nb,recall,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 1e-09},,,,,
72,tt_0,126,True,minmax,True,94,32,gaussian_nb,f1,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 2e-09},,,,,
73,tt_0,126,True,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.8125,0.82051282051282,0.5,0.833333333333333,0.625,0.820512820512821,{'clf__var_smoothing': 1e-08},,,,,
