,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
55,reduced,126,False,minmax,True,94,32,decision_tree,precision,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
60,reduced,126,False,minmax,True,94,32,random_forest,precision,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
66,reduced,126,False,minmax,True,94,32,mlp,recall,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
84,tt_0,126,False,minmax,True,94,32,ada,roc_auc,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 100},,,
87,tt_0,126,False,minmax,True,94,32,svm,f1,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__C': 1000, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
120,tt_35,126,False,minmax,True,94,32,svm,precision,0.59375,0.557692307692308,0.230769230769231,0.5,0.31578947368421,0.557692307692308,{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
17,all_columns,126,False,minmax,True,94,32,svm,f1,0.5,0.564102564102564,0.222222222222222,0.666666666666667,0.333333333333333,0.564102564102564,{'clf__C': 1, 'clf__kernel': 'linear'},,,,
29,all_columns,126,False,minmax,True,94,32,random_forest,roc_auc,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
97,tt_0,126,False,minmax,True,94,32,random_forest,f1,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
98,tt_0,126,False,minmax,True,94,32,random_forest,balanced_accuracy,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
99,tt_0,126,False,minmax,True,94,32,random_forest,roc_auc,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
102,tt_0,126,False,minmax,True,94,32,mlp,f1,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
110,tt_35,126,False,minmax,True,94,32,knn,precision,0.5,0.564102564102564,0.222222222222222,0.666666666666667,0.333333333333333,0.564102564102564,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 3, 'clf__weights': 'uniform'},,
117,tt_35,126,False,minmax,True,94,32,ada,f1,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 100},,,
118,tt_35,126,False,minmax,True,94,32,ada,balanced_accuracy,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 1, 'clf__n_estimators': 10},,,
126,tt_35,126,False,minmax,True,94,32,decision_tree,recall,0.34375,0.596153846153846,0.222222222222222,1,0.363636363636364,0.596153846153846,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
130,tt_35,126,False,minmax,True,94,32,random_forest,precision,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
137,tt_35,126,False,minmax,True,94,32,mlp,f1,0.65625,0.532051282051282,0.222222222222222,0.333333333333333,0.266666666666667,0.532051282051282,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
4,all_columns,126,False,minmax,True,94,32,gaussian_nb,roc_auc,0.5625,0.538461538461538,0.214285714285714,0.5,0.3,0.538461538461538,{'clf__var_smoothing': 1e-09},,,,,
