,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
134,tt_35,122,True,minmax,True,91,31,random_forest,roc_auc,0.943464430306535,0.082609640964816,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
140,tt_wilcoxon,122,True,minmax,True,91,31,gaussian_nb,precision,0.48046398046398,0.35217155149228,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-09},,,,,
164,tt_wilcoxon,122,True,minmax,True,91,31,decision_tree,roc_auc,0.938765182186235,0.060041659716453,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
172,tt_wilcoxon,122,True,minmax,True,91,31,mlp,f1,0.612454212454213,0.244682064354062,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
178,tt_35_premed,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.78716020821284,0.234878705561544,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 2e-09},,,,,
206,tt_35_premed,122,True,minmax,True,91,31,mlp,recall,0.81043956043956,0.325940438460745,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
211,tt_wilcoxon_premed,122,True,minmax,True,91,31,gaussian_nb,recall,0.747252747252747,0.434587251280993,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 1e-09},,,,,
213,tt_wilcoxon_premed,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.793811451706188,0.222212651293325,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__var_smoothing': 2e-08},,,,,
236,tt_wilcoxon_premed,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
237,tt_wilcoxon_premed,122,True,minmax,True,91,31,random_forest,f1,0.814652014652014,0.118105599487287,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__bootstrap': True, 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
244,tt_wilcoxon_premed,122,True,minmax,True,91,31,mlp,roc_auc,0.873626373626374,0.150994883404909,0.838709677419355,0.836666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.836666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
21,all_columns,122,True,minmax,True,91,31,decision_tree,recall,0.873626373626374,0.124992452374476,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
27,all_columns,122,True,minmax,True,91,31,random_forest,f1,0.801887001887002,0.152021443578383,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
29,all_columns,122,True,minmax,True,91,31,random_forest,roc_auc,0.923510699826489,0.0638943973922,0.838709677419355,0.9,0.545454545454545,1,0.705882352941176,0.9,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
