subject	duration	card_class	show_order	fix_freq	sacc_freq	sr_fix_freq	sr_sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sr_pupil_diam_right_mean	sr_pupil_diam_right_std	sr_pupil_diam_right_min	sr_pupil_diam_right_max	sr_pupil_diam_left_mean	sr_pupil_diam_left_std	sr_pupil_diam_left_min	sr_pupil_diam_left_max	label
5	3510	aliens	2	132.1937321937322	13.960113960113961	309.3333333333333	32.666666666666664	3.17295698924731	0.04911506929616869	3.03	3.65	3.120468750000001	0.10379343694259296	2.97	4.28	3.173866666666666	0.032682870473251996	3.1	3.27	3.1228666666666656	0.11266947959900066	3.05	4.28	0
6	1859	unicorn	6	12.372243141473911	8.068854222700377	0.0	0.0	3.0094444444444446	0.1843740514543009	2.73	3.33	3.213	0.16880695919802657	2.98	3.69	3.13	0.05656854249492385	3.09	3.17	3.3118181818181824	0.15510114002277234	3.08	3.69	0
6	2940	pepper	1	151.0204081632653	28.571428571428573	296.0	56.0	3.145303030303028	0.24688035099316138	2.87	5.39	2.9494086021505352	0.1211841338789092	2.36	3.82	3.133933333333333	0.07143680425548961	2.87	3.27	2.9563309352517995	0.10976353955565402	2.36	3.29	0
6	3409	minion	2	96.80258140217073	0.0	220.0	0.0	3.233965517241378	0.14750610487201113	2.99	3.46	3.0545132743362826	0.1112188250898272	2.81	3.22	3.2289380530973437	0.14594741489328567	2.99	3.43	3.0545132743362826	0.1112188250898272	2.81	3.22	0
6	2319	pig	4	26.735661923242777	4.743423889607589	41.333333333333336	7.333333333333333	3.325	0.7110288320455085	3.04	5.86	3.0416666666666674	0.5543007084266796	2.78	5.43	3.325	0.7110288320455085	3.04	5.86	3.0416666666666674	0.5543007084266796	2.78	5.43	1
6	3849	hedge	3	142.11483502208364	20.005196154845414	364.6666666666667	51.333333333333336	3.225446009389672	0.12060544257541296	2.99	3.62	3.015607476635515	0.11819596658349801	2.7	3.56	3.1882666666666664	0.08663544438457994	2.99	3.48	2.9836666666666676	0.08402953033713853	2.75	3.3	0
6	3416	aliens	5	85.18735362997658	26.639344262295083	194.0	60.666666666666664	3.1153956834532393	0.13139312727184732	2.81	3.94	2.8986466165413534	0.10174821832173427	2.59	3.11	3.109703703703705	0.12821356216677568	2.81	3.94	2.8964122137404575	0.10086600938709255	2.59	3.11	0
7	4774	unicorn	1	259.94972769166316	0.6284038542103059	827.3333333333334	2.0	3.6501864801864823	0.08531394854762943	3.31	3.82	3.8737616822429866	0.09394108088687231	3.68	4.48	3.5943150684931497	0.06680808885825007	3.31	3.72	3.7952413793103443	0.09359400175626087	3.68	4.48	0
7	3146	pepper	2	276.2237762237762	0.0	579.3333333333334	0.0	3.7311148648648698	0.10332985022624534	3.45	3.88	4.011925675675673	0.1217917417375832	3.79	5.14	3.748266666666668	0.0689299485536313	3.63	3.86	3.996333333333332	0.086772221041754	3.83	4.15	0
7	2987	minion	3	199.53130231001003	15.734851021091396	397.3333333333333	31.333333333333332	3.7382272727272734	0.07825169075926262	3.47	3.87	3.972227272727277	0.09695851008271286	3.76	4.16	3.766999999999999	0.07381047742144202	3.47	3.87	3.9516666666666675	0.10085817450585376	3.76	4.16	0
